Name,PA,BB%,K%,AVG,OBP,SLG,OPS,BABIP,wRC+
Casey McGehee,548.007,7.400,14.506,0.288,0.341,0.418,0.758,0.319,96.000
Casey Rogowski,508.850,10.897,20.846,0.264,0.349,0.427,0.775,0.317,109.894
Casey Smith,434.000,4.800,13.100,0.280,0.319,0.398,0.717,0.315,87.000
Casper Wells,430.000,7.900,25.800,0.233,0.309,0.483,0.793,0.271,111.000
Cedric Hunter,469.222,8.422,11.844,0.276,0.342,0.400,0.741,0.298,105.333
Cesar Crespo,488.000,11.300,17.400,0.239,0.326,0.319,0.646,0.287,84.000
Cesar Hernandez,440.000,9.300,18.400,0.309,0.375,0.402,0.776,0.384,121.000
Chad Huffman,494.866,11.190,20.651,0.262,0.355,0.433,0.789,0.311,114.379
Chad Pinder,465.000,5.400,23.200,0.258,0.310,0.425,0.735,0.312,93.000
Chad Tracy,554.916,8.059,19.654,0.264,0.332,0.456,0.788,0.298,95.642
Chance Sisco,388.000,8.200,25.500,0.267,0.340,0.395,0.736,0.351,107.000
Charles Thomas,434.000,8.800,17.700,0.274,0.350,0.376,0.726,0.323,96.000
Charlie Culberson,467.772,4.100,18.138,0.284,0.316,0.467,0.784,0.324,99.532
Charlie Tilson,395.000,8.400,12.900,0.282,0.345,0.407,0.753,0.317,102.000
Charlton Jimerson,501.000,4.600,36.500,0.247,0.287,0.445,0.732,0.363,86.000
Chase d'Arnaud,421.572,7.861,20.764,0.251,0.319,0.370,0.690,0.315,91.598
Che-Hsuan Lin,439.082,11.619,13.762,0.241,0.339,0.313,0.651,0.279,83.466
Cheslor Cuthbert,438.000,8.400,13.700,0.277,0.339,0.421,0.759,0.302,103.000
Chesny Young,475.000,6.900,14.700,0.256,0.311,0.311,0.622,0.299,63.000
Chin-lung Hu,544.000,4.600,9.900,0.294,0.332,0.393,0.725,0.318,92.000
Chip Ambres,504.000,14.100,21.200,0.274,0.379,0.475,0.854,0.318,120.000
Choo Freeman,459.000,11.100,20.000,0.270,0.355,0.395,0.750,0.329,93.000
Chris Barnwell,440.000,8.600,13.600,0.300,0.375,0.389,0.764,0.344,107.000
Chris Basak,417.000,9.400,18.200,0.267,0.345,0.407,0.752,0.317,113.000
Chris Carter,554.536,10.472,15.569,0.294,0.371,0.500,0.871,0.316,128.467
Chris Davis,445.000,8.300,23.600,0.327,0.383,0.520,0.903,0.407,129.000
Chris Dickerson,415.002,12.749,28.058,0.273,0.372,0.457,0.829,0.373,127.480
Chris Dominguez,512.969,4.394,24.870,0.284,0.320,0.462,0.782,0.349,99.788
Chris Frey,451.000,4.900,11.800,0.290,0.323,0.394,0.717,0.323,79.000
Chris Getz,457.000,9.000,11.600,0.302,0.366,0.448,0.814,0.322,123.000
Chris Johnson,412.000,5.100,21.800,0.281,0.323,0.461,0.784,0.335,103.000
Chris Lubanski,420.771,9.322,26.685,0.266,0.332,0.491,0.823,0.333,104.143
Chris Marrero,517.242,9.098,16.175,0.286,0.351,0.451,0.803,0.316,125.166
Chris McGuiness,464.018,14.173,17.057,0.256,0.363,0.417,0.780,0.295,113.529
Chris Owings,575.000,3.800,17.200,0.330,0.359,0.482,0.841,0.386,121.000
Chris Pettit,415.000,7.500,14.900,0.321,0.383,0.482,0.865,0.365,130.000
Chris Roberson,509.000,6.100,11.200,0.266,0.313,0.350,0.663,0.292,81.000
Chris Shelton,594.000,14.000,23.700,0.269,0.381,0.420,0.801,0.347,124.000
Chris Taylor,396.000,12.600,15.400,0.300,0.391,0.429,0.820,0.355,124.000
Chris Valaika,436.775,4.274,16.326,0.268,0.303,0.370,0.673,0.307,81.081
Chris Young,466.000,11.200,15.200,0.276,0.363,0.532,0.896,0.286,132.000
Christian Colon,501.008,7.341,8.935,0.288,0.347,0.401,0.748,0.300,98.041
Christian Colonel,455.790,8.031,13.510,0.294,0.354,0.433,0.787,0.324,104.689
Christian Lopes,384.000,11.200,13.500,0.261,0.349,0.402,0.751,0.290,111.000
Christian Villanueva,482.516,8.127,16.927,0.276,0.339,0.480,0.819,0.298,111.574
Christian Walker,579.281,8.632,21.794,0.277,0.343,0.487,0.830,0.322,126.571
Christopher Bostick,549.000,8.200,17.700,0.294,0.362,0.418,0.779,0.353,119.000
Chun-Hsiu Chen,395.000,9.400,26.600,0.223,0.302,0.349,0.651,0.289,82.000
Cito Culver,389.000,8.000,28.300,0.223,0.282,0.398,0.681,0.283,85.000
Clay Timpner,451.314,7.578,13.253,0.265,0.324,0.363,0.687,0.298,78.008
Clete Thomas,406.000,7.900,32.000,0.251,0.314,0.401,0.715,0.352,96.000
Cliff Pennington,417.000,10.800,12.900,0.264,0.345,0.367,0.712,0.300,91.000
Clint Robinson,571.002,11.997,13.404,0.309,0.396,0.493,0.889,0.336,126.007
Cody Asche,446.000,7.800,21.300,0.295,0.352,0.485,0.837,0.349,133.000
Cody Decker,510.000,10.000,29.400,0.261,0.337,0.514,0.852,0.324,116.000
Cody Overbeck,491.684,6.819,25.738,0.252,0.307,0.429,0.736,0.311,102.394
Colby Rasmus,387.000,12.700,18.600,0.251,0.346,0.396,0.742,0.287,89.000
Cole Figueroa,533.000,10.100,5.600,0.286,0.361,0.367,0.727,0.296,107.000
Cole Garner,469.000,8.300,19.000,0.304,0.374,0.520,0.894,0.360,127.000
Cole Gillespie,523.979,13.509,17.293,0.285,0.388,0.469,0.858,0.328,120.396
Colin Moran,511.000,9.200,24.300,0.259,0.329,0.368,0.697,0.332,88.000
Collin Cowgill,456.000,11.200,13.800,0.354,0.430,0.554,0.984,0.397,148.000
Conor Gillaspie,484.746,11.034,13.730,0.289,0.368,0.447,0.815,0.316,107.236
Cord Phelps,485.898,12.276,17.146,0.277,0.368,0.446,0.814,0.317,127.051
Corey Brown,489.824,10.021,27.845,0.260,0.341,0.469,0.810,0.334,123.409
Corey Seager,464.000,6.900,14.000,0.278,0.332,0.451,0.783,0.298,106.000
Corey Wimberly,623.000,9.300,10.300,0.284,0.373,0.354,0.727,0.318,95.000
Craig Brazell,455.000,4.400,18.200,0.307,0.337,0.605,0.942,0.317,133.000
Craig Cooper,398.000,8.800,19.800,0.248,0.317,0.393,0.709,0.293,81.000
Craig Stansberry,516.249,11.212,16.226,0.271,0.357,0.423,0.780,0.310,103.463
Cristhian Adames,511.000,7.000,11.000,0.311,0.362,0.438,0.800,0.334,114.000
Curtis Thigpen,395.000,5.300,14.700,0.222,0.267,0.310,0.577,0.252,54.000
D.J. Peterson,518.000,8.100,18.500,0.252,0.315,0.404,0.719,0.283,88.000
Dallas McPherson,530.000,14.300,31.700,0.275,0.379,0.618,0.998,0.335,144.000
Daniel Castro,430.000,5.600,10.000,0.306,0.344,0.397,0.741,0.333,91.000
Daniel Descalso,531.000,8.900,9.000,0.282,0.350,0.421,0.771,0.295,99.000
Daniel Fields,526.000,12.500,27.800,0.228,0.335,0.367,0.701,0.320,106.000
Daniel Robertson,543.987,10.206,13.597,0.283,0.367,0.377,0.743,0.327,105.550
Daniel Vogelbach,552.219,15.632,17.998,0.291,0.403,0.480,0.884,0.330,134.749
Danny Dorn,452.294,8.642,23.698,0.257,0.329,0.443,0.771,0.310,111.716
Danny Garcia,451.000,7.800,14.600,0.242,0.327,0.339,0.666,0.281,89.000
Danny Hayes,515.000,13.000,27.600,0.228,0.327,0.415,0.742,0.285,106.000
Danny Muno,435.000,13.800,18.900,0.259,0.372,0.418,0.790,0.296,110.000
Danny Ortiz,481.598,5.359,19.221,0.251,0.291,0.433,0.724,0.278,100.846
Danny Richar,450.924,6.481,16.128,0.295,0.343,0.450,0.793,0.334,107.343
Daric Barton,552.161,15.090,11.534,0.295,0.404,0.434,0.839,0.324,124.597
Dariel Alvarez,550.664,4.017,12.973,0.282,0.315,0.404,0.718,0.308,104.931
Darnell McDonald,596.000,7.900,19.300,0.292,0.351,0.435,0.786,0.347,120.000
Darnell Sweeney,489.630,8.592,22.227,0.258,0.324,0.392,0.716,0.322,95.710
Darwin Barney,514.000,4.500,10.100,0.299,0.333,0.378,0.711,0.329,83.000
Dave Krynzel,417.000,10.100,25.700,0.231,0.314,0.359,0.673,0.308,78.000
Dave Sappelt,550.000,6.500,13.300,0.266,0.314,0.376,0.690,0.296,77.000
David Cooper,545.000,12.300,7.900,0.364,0.439,0.535,0.974,0.380,144.000
David Espinosa,419.000,8.100,22.200,0.204,0.268,0.317,0.585,0.255,58.000
David Freese,510.000,7.600,21.800,0.306,0.361,0.550,0.910,0.350,127.000
David Lough,530.915,6.347,11.657,0.291,0.343,0.446,0.789,0.313,97.467
David Murphy,451.000,9.100,15.700,0.280,0.346,0.420,0.766,0.319,110.000
David Washington,399.010,9.765,34.952,0.259,0.332,0.503,0.835,0.357,123.528
David Winfree,454.020,5.256,18.307,0.281,0.321,0.469,0.791,0.316,109.013
Dayan Viciedo,505.000,8.900,16.400,0.296,0.364,0.491,0.856,0.324,133.000
Dean Anna,583.000,10.500,11.100,0.331,0.410,0.482,0.892,0.361,140.000
Dee Gordon,433.000,11.800,16.200,0.297,0.385,0.390,0.775,0.364,111.000
Deibinson Romero,492.000,12.200,17.900,0.265,0.364,0.406,0.770,0.314,116.000
Delwyn Young,560.945,7.152,18.663,0.304,0.354,0.512,0.865,0.349,120.220
Denard Span,548.000,7.300,16.400,0.267,0.323,0.355,0.678,0.322,87.000
Denis Phipps,444.009,9.231,22.942,0.236,0.314,0.392,0.706,0.286,97.477
Derek Fisher,384.000,9.100,19.300,0.318,0.384,0.583,0.967,0.352,147.000
Derrick Robinson,488.000,10.200,17.200,0.268,0.344,0.325,0.668,0.325,78.000
Derrik Gibson,422.000,8.100,20.600,0.242,0.306,0.388,0.695,0.298,77.000
Desmond Jennings,429.676,10.764,16.922,0.277,0.368,0.422,0.790,0.326,118.215
Destin Hood,522.000,7.100,21.600,0.267,0.316,0.435,0.751,0.315,97.000
Deven Marrero,404.095,6.842,21.954,0.228,0.282,0.295,0.577,0.288,65.556
Devin Mesoraco,499.000,10.400,16.600,0.289,0.371,0.484,0.855,0.325,133.000
Diego Goris,470.000,6.000,19.600,0.285,0.326,0.417,0.742,0.336,91.000
Dilson Herrera,469.000,8.100,18.600,0.274,0.335,0.456,0.791,0.312,112.000
Diory Hernandez,490.000,4.100,14.900,0.288,0.317,0.383,0.700,0.329,89.000
Dixon Machado,568.002,8.253,14.098,0.264,0.331,0.344,0.675,0.305,97.016
Domingo Santana,467.630,12.767,27.799,0.312,0.403,0.518,0.921,0.422,144.127
Dominic Smith,500.000,7.800,17.400,0.330,0.386,0.519,0.905,0.380,134.000
Drew Dosch,473.000,7.600,23.900,0.265,0.323,0.414,0.737,0.339,103.000
Drew Garcia,406.506,6.800,24.435,0.218,0.276,0.339,0.616,0.277,67.026
Drew Locke,524.000,8.200,17.600,0.279,0.338,0.478,0.816,0.313,105.000
Drew Meyer,403.000,6.700,22.600,0.228,0.278,0.305,0.583,0.295,52.000
Drew Robinson,539.000,12.200,27.500,0.257,0.350,0.480,0.830,0.332,120.000
Drew Stubbs,472.000,10.800,22.000,0.268,0.353,0.360,0.713,0.350,102.000
Drew Sutton,438.000,13.900,21.000,0.273,0.379,0.387,0.766,0.347,113.000
Drew T. Anderson,428.395,5.721,22.070,0.282,0.329,0.430,0.759,0.354,98.456
Dustin Martin,522.860,9.278,21.663,0.259,0.330,0.398,0.728,0.319,99.097
Dustin Pedroia,493.000,9.700,5.500,0.305,0.384,0.426,0.810,0.314,131.000
Dwight Smith Jr.,449.000,10.500,15.800,0.273,0.350,0.392,0.743,0.313,108.000
Dylan Cozens,542.000,10.700,35.800,0.210,0.301,0.418,0.719,0.283,99.000
Eduardo Escobar,536.000,5.000,19.400,0.266,0.303,0.354,0.657,0.327,78.000
Eduardo Nunez,506.000,6.300,11.900,0.289,0.340,0.381,0.721,0.323,97.000
Edward Salcedo,413.000,9.700,23.500,0.212,0.294,0.357,0.651,0.257,79.000
Edwin Maysonet,466.000,9.400,15.000,0.271,0.343,0.379,0.723,0.310,86.000
Efren Navarro,570.488,8.530,14.449,0.312,0.370,0.448,0.818,0.355,111.111
Eider Torres,457.068,6.363,13.235,0.275,0.322,0.340,0.662,0.314,82.890
Elliot Johnson,480.633,7.883,23.388,0.261,0.326,0.411,0.738,0.328,100.397
Emilio Bonifacio,438.000,7.100,15.500,0.314,0.361,0.397,0.758,0.373,97.000
Engel Beltre,439.000,6.400,19.100,0.292,0.340,0.398,0.738,0.351,94.000
Eric Campbell,425.000,15.500,14.100,0.314,0.435,0.475,0.910,0.357,148.000
Eric Duncan,474.103,8.981,20.446,0.237,0.309,0.377,0.686,0.280,85.867
Eric Farris,530.376,5.728,11.397,0.269,0.316,0.357,0.673,0.296,74.991
Eric Patterson,557.216,9.538,14.934,0.302,0.369,0.474,0.842,0.338,118.056
Eric Reed,420.000,5.700,22.400,0.303,0.344,0.438,0.782,0.384,105.000
Eric Sogard,597.000,12.600,11.400,0.300,0.391,0.407,0.798,0.336,111.000
Eric Thames,398.000,10.100,23.900,0.278,0.357,0.432,0.789,0.353,114.000
Eric Wood,473.000,9.500,26.400,0.238,0.311,0.438,0.749,0.293,105.000
Eric Young Jr.,554.000,10.100,14.300,0.299,0.387,0.430,0.817,0.347,121.000
Erik Gonzalez,460.000,4.100,19.100,0.296,0.329,0.450,0.779,0.349,122.000
Ernesto Mejia,555.029,7.391,25.586,0.273,0.335,0.500,0.835,0.327,130.036
Eury Perez,433.000,3.000,14.800,0.300,0.336,0.422,0.758,0.343,113.000
Evan Frey,455.000,13.000,14.900,0.275,0.369,0.373,0.742,0.326,91.000
Ezequiel Carrera,440.960,8.347,15.798,0.280,0.345,0.383,0.728,0.329,102.310
Felix Perez,428.000,5.400,14.700,0.301,0.348,0.401,0.749,0.350,111.000
Felix Pie,623.000,7.400,20.200,0.283,0.341,0.451,0.792,0.340,107.000
Fernando Cortez,442.938,4.482,11.459,0.246,0.284,0.306,0.589,0.276,58.486
Fernando Perez,514.146,8.644,25.162,0.260,0.327,0.353,0.680,0.353,85.958
Franchy Cordero,419.000,5.500,28.200,0.326,0.369,0.603,0.972,0.431,146.000
Francisco Cervelli,417.000,9.400,19.700,0.246,0.341,0.316,0.657,0.308,89.000
Francisco Peguero,476.000,3.200,17.200,0.272,0.297,0.394,0.691,0.319,73.000
Frank Schwindel,406.000,2.500,16.700,0.321,0.340,0.528,0.868,0.353,121.000
Franklin Barreto,510.000,5.300,27.600,0.290,0.339,0.456,0.796,0.384,103.000
Franklin Gutierrez,413.000,11.900,20.300,0.278,0.373,0.433,0.806,0.341,127.000
Fred Lewis,517.000,13.200,20.300,0.276,0.375,0.453,0.828,0.334,120.000
Freddie Freeman,519.000,8.300,16.200,0.319,0.378,0.521,0.898,0.351,141.000
Freddy Guzman,507.893,9.924,12.448,0.272,0.348,0.369,0.716,0.308,92.160
Freddy Sandoval,587.000,8.000,12.600,0.335,0.389,0.514,0.904,0.363,128.000
Garin Cecchini,465.391,8.357,18.812,0.249,0.317,0.349,0.666,0.299,85.226
Garrett Jones,546.259,8.105,18.702,0.265,0.324,0.462,0.785,0.292,111.685
Gary Brown,558.104,5.511,19.643,0.248,0.303,0.379,0.681,0.296,77.811
Gavin Cecchini,498.002,8.802,11.649,0.296,0.360,0.414,0.774,0.328,106.543
George Kottaras,462.000,13.900,23.800,0.243,0.348,0.456,0.804,0.279,119.000
Geovany Soto,422.002,11.195,19.969,0.315,0.391,0.528,0.919,0.368,136.486
Giovanny Urshela,462.520,4.921,11.847,0.275,0.311,0.423,0.735,0.292,104.007
Gorkys Hernandez,450.508,7.914,21.919,0.277,0.342,0.387,0.730,0.355,102.913
Grant Green,481.669,5.714,15.630,0.308,0.351,0.466,0.817,0.350,113.304
Greg Dobbs,421.000,8.800,13.800,0.314,0.375,0.451,0.826,0.349,118.000
Greg Garcia,419.121,11.008,17.514,0.278,0.375,0.377,0.751,0.341,104.400
Greg Golson,467.288,5.411,23.205,0.265,0.312,0.388,0.700,0.338,89.217
Greg Halman,465.000,8.000,36.300,0.243,0.310,0.545,0.854,0.315,111.000
Gregor Blanco,482.626,12.021,16.443,0.259,0.351,0.327,0.678,0.313,93.092
Gregorio Petit,455.103,7.055,18.912,0.252,0.310,0.359,0.670,0.298,77.749
Hank Conger,452.000,12.200,12.800,0.300,0.385,0.463,0.847,0.326,120.000
Harrison Bader,479.000,7.100,24.600,0.283,0.347,0.469,0.816,0.345,111.000
Hector Gomez,442.000,4.800,18.100,0.282,0.325,0.483,0.808,0.315,105.000
Hector Luna,429.000,7.000,14.500,0.267,0.324,0.397,0.721,0.296,98.000
Henry Alejandro Rodriguez,514.000,5.400,13.400,0.274,0.319,0.335,0.654,0.311,84.000
Hernan Iribarren,453.676,7.247,15.157,0.287,0.341,0.380,0.721,0.334,87.336
Hernan Perez,596.000,6.000,10.900,0.287,0.331,0.404,0.735,0.315,102.000
Hunter Brown,447.000,12.300,19.900,0.262,0.357,0.405,0.762,0.323,105.000
Hunter Dozier,434.000,9.200,23.000,0.294,0.357,0.506,0.864,0.358,126.000
Hunter Morris,546.000,7.900,22.300,0.247,0.310,0.457,0.766,0.280,97.000
Hunter Renfroe,563.000,3.900,20.400,0.306,0.336,0.557,0.893,0.339,131.000
Ian Stewart,474.000,10.300,19.400,0.304,0.379,0.478,0.857,0.357,118.000
Ildemaro Vargas,535.000,5.600,7.500,0.312,0.355,0.462,0.817,0.319,111.000
Irving Falu,542.185,8.680,6.855,0.271,0.334,0.337,0.671,0.288,77.871
Isaac Galloway,478.134,5.325,22.656,0.252,0.295,0.366,0.661,0.314,73.659
Ivan De Jesus Jr.,507.084,8.607,15.594,0.295,0.359,0.407,0.765,0.343,101.340
J.B. Shuck,443.197,11.191,6.832,0.309,0.390,0.409,0.798,0.326,108.890
J.J. Furmaniak,450.738,8.285,21.265,0.256,0.325,0.387,0.712,0.312,87.728
J.P. Arencibia,480.376,6.684,20.742,0.267,0.320,0.531,0.851,0.286,113.282
J.P. Crawford,556.000,14.200,17.400,0.243,0.351,0.405,0.756,0.275,114.000
J.R. House,471.000,9.100,12.500,0.298,0.365,0.463,0.828,0.322,126.000
JD Closser,399.000,14.800,19.300,0.231,0.343,0.413,0.756,0.258,94.000
JaCoby Jones,393.000,8.400,26.500,0.245,0.314,0.387,0.702,0.322,94.000
Jack Cust,591.000,24.200,21.000,0.293,0.467,0.549,1.016,0.341,174.000
Jack Hannahan,458.754,15.001,22.642,0.288,0.399,0.441,0.840,0.363,136.817
Jack Reinheimer,548.741,8.698,16.306,0.283,0.347,0.368,0.714,0.337,91.168
