Name,PA,BB%,K%,AVG,OBP,SLG,OPS,BABIP,wRC+
Jarrett Hoffpauir,462.766,10.305,7.790,0.286,0.362,0.453,0.816,0.288,110.343
Jarrett Parker,504.000,12.300,32.500,0.283,0.375,0.514,0.889,0.398,135.000
Jason Botts,460.000,17.600,22.200,0.320,0.436,0.545,0.980,0.401,150.000
Jason Bourgeois,511.942,5.407,10.345,0.299,0.344,0.403,0.746,0.327,101.104
Jason Coats,530.000,5.500,17.500,0.270,0.313,0.438,0.751,0.299,115.000
Jason Cooper,431.119,10.744,24.166,0.243,0.328,0.432,0.760,0.301,108.827
Jason Dubois,512.000,8.800,25.600,0.275,0.342,0.492,0.835,0.334,131.000
Jason Jaramillo,484.773,9.514,16.583,0.269,0.345,0.366,0.711,0.314,96.536
Jason Kipnis,400.000,11.000,18.000,0.280,0.362,0.484,0.846,0.318,131.000
Jason Leblebijian,473.000,7.400,26.200,0.258,0.323,0.405,0.729,0.336,102.000
Jason Martinson,534.268,7.959,34.513,0.218,0.292,0.375,0.667,0.316,91.768
Jason Perry,391.000,12.500,26.900,0.255,0.359,0.498,0.857,0.310,120.000
Jason Pridie,575.914,4.287,20.638,0.268,0.300,0.410,0.710,0.323,90.298
Jason Repko,535.000,9.300,20.200,0.283,0.373,0.449,0.822,0.344,111.000
Javier Baez,434.000,7.800,30.000,0.260,0.323,0.510,0.833,0.322,108.000
Javier Castillo,474.000,5.900,18.400,0.247,0.295,0.364,0.660,0.292,81.000
Jaycob Brugman,433.000,8.300,20.300,0.295,0.352,0.438,0.790,0.358,109.000
Jayson Nix,444.202,7.167,15.949,0.274,0.331,0.389,0.719,0.317,87.564
Jedd Gyorko,408.000,8.300,16.700,0.328,0.380,0.588,0.968,0.344,146.000
Jeff Bailey,548.000,13.500,21.200,0.275,0.383,0.489,0.872,0.319,145.000
Jeff Baisley,391.000,6.600,21.000,0.248,0.306,0.389,0.695,0.296,80.000
Jeff Baker,538.000,8.600,20.400,0.305,0.369,0.508,0.877,0.357,130.000
Jeff Clement,535.047,10.844,18.316,0.274,0.362,0.496,0.858,0.306,122.019
Jeff Fiorentino,423.000,11.300,14.700,0.312,0.387,0.510,0.896,0.343,146.000
Jeff Frazier,476.505,5.519,14.567,0.280,0.320,0.476,0.796,0.291,113.270
Jeff Keppinger,509.000,7.900,5.900,0.316,0.368,0.389,0.757,0.329,111.000
Jeff Kobernus,412.000,6.800,14.300,0.318,0.366,0.388,0.754,0.373,113.000
Jeff Larish,416.945,11.823,24.329,0.266,0.358,0.503,0.861,0.312,129.881
Jeff Mathis,417.000,6.200,18.000,0.289,0.333,0.430,0.763,0.343,99.000
Jeff Salazar,472.000,11.900,11.900,0.299,0.385,0.495,0.880,0.321,125.000
Jefry Marte,399.000,7.800,16.000,0.275,0.341,0.487,0.828,0.294,139.000
Jeimer Candelario,458.000,10.000,22.700,0.265,0.343,0.484,0.827,0.321,116.000
Jemile Weeks,614.000,13.000,16.100,0.271,0.376,0.369,0.745,0.328,105.000
Jeremy Brown,390.000,12.100,19.000,0.276,0.364,0.469,0.833,0.315,113.000
Jeremy Hazelbaker,480.000,7.500,27.300,0.257,0.313,0.374,0.687,0.340,90.000
Jeremy Hermida,450.000,10.200,21.600,0.319,0.400,0.524,0.924,0.387,155.000
Jeremy Moore,460.000,4.600,24.800,0.298,0.331,0.545,0.876,0.370,108.000
Jeremy Reed,630.000,7.500,11.600,0.300,0.354,0.452,0.806,0.323,106.000
Jermaine Curtis,436.000,11.900,12.200,0.257,0.355,0.349,0.703,0.284,91.000
Jermaine Mitchell,474.000,11.400,21.900,0.252,0.345,0.386,0.731,0.322,92.000
Jerry Owens,450.565,9.279,13.159,0.268,0.337,0.333,0.670,0.306,87.320
Jerry Sands,452.369,10.998,22.205,0.264,0.346,0.485,0.832,0.299,112.308
Jesse Winker,448.000,13.200,13.200,0.303,0.397,0.384,0.782,0.347,128.000
Jesus Aguilar,551.296,9.945,19.476,0.271,0.347,0.472,0.819,0.301,130.887
Jesus Guzman,496.032,7.549,15.110,0.321,0.378,0.508,0.885,0.353,130.024
Jesus Merchan,477.000,3.800,9.200,0.339,0.373,0.443,0.816,0.363,109.000
Jesus Montero,468.541,7.332,17.964,0.307,0.359,0.494,0.853,0.345,130.008
Jesus Valdez,428.000,6.500,15.900,0.271,0.318,0.397,0.715,0.298,94.000
Jim Adduci,407.000,6.600,19.700,0.248,0.302,0.302,0.604,0.306,56.000
Jim Gallagher,543.000,11.400,15.100,0.246,0.335,0.381,0.717,0.282,99.000
Jimmy Paredes,485.038,4.056,21.963,0.305,0.334,0.459,0.794,0.376,104.531
Joaquin Arias,509.589,3.786,10.789,0.276,0.306,0.370,0.676,0.300,73.331
Joc Pederson,553.000,18.100,26.900,0.303,0.435,0.582,1.017,0.385,164.000
Joe Koshansky,542.680,11.769,27.800,0.271,0.359,0.508,0.867,0.341,119.029
Joe Leonard,449.000,4.900,20.300,0.230,0.271,0.297,0.568,0.291,56.000
Joe Mahoney,536.000,6.500,17.700,0.265,0.319,0.389,0.708,0.308,94.000
Joe Thurston,558.351,7.797,10.721,0.291,0.358,0.430,0.789,0.319,119.487
Joel Guzman,451.188,5.348,23.286,0.255,0.294,0.431,0.725,0.296,91.606
Joey Butler,525.116,12.230,24.633,0.300,0.392,0.467,0.859,0.389,124.180
Joey Gallo,433.000,15.700,34.600,0.240,0.367,0.529,0.896,0.330,135.000
Joey Terdoslavich,569.000,10.700,18.600,0.256,0.337,0.385,0.722,0.298,100.000
Joey Votto,580.000,12.100,19.000,0.294,0.381,0.478,0.859,0.332,136.000
Joey Wendle,555.441,4.044,18.613,0.285,0.325,0.441,0.766,0.338,99.478
Johan Limonta,460.000,9.600,16.300,0.319,0.382,0.477,0.858,0.359,114.000
John Andreoli,532.750,13.633,25.309,0.258,0.365,0.410,0.775,0.344,108.748
John Bowker,450.501,11.194,15.201,0.324,0.399,0.539,0.938,0.351,150.474
John Hattig,402.301,9.229,26.784,0.272,0.341,0.407,0.749,0.366,107.945
John Mayberry Jr.,513.536,6.728,19.185,0.265,0.322,0.441,0.763,0.304,96.676
John Nelson,476.000,8.800,32.100,0.215,0.291,0.411,0.702,0.277,82.000
John Raynor,503.000,8.300,24.100,0.257,0.327,0.360,0.687,0.337,83.000
John-Ford Griffin,551.000,10.700,26.100,0.252,0.330,0.488,0.818,0.299,121.000
Johnny Field,480.000,5.400,20.400,0.261,0.303,0.425,0.728,0.307,100.000
Johnny Giavotella,463.184,10.010,10.421,0.315,0.384,0.451,0.835,0.337,116.340
Johnny Monell,481.000,12.300,21.800,0.275,0.364,0.494,0.858,0.319,125.000
Jon Jay,564.000,6.000,11.300,0.281,0.338,0.394,0.732,0.303,93.000
Jon Kemmer,452.000,8.400,28.300,0.265,0.334,0.477,0.811,0.342,114.000
Jon Knott,544.000,9.600,18.900,0.280,0.353,0.572,0.925,0.291,138.000
Jon Singleton,475.980,15.514,23.525,0.227,0.347,0.444,0.793,0.256,111.106
Jonathan Diaz,400.000,15.500,14.000,0.240,0.374,0.317,0.691,0.280,92.000
Jonathan Galvez,424.581,8.652,21.471,0.279,0.348,0.414,0.763,0.346,100.914
Jonathan Herrera,450.000,10.900,11.300,0.268,0.353,0.339,0.692,0.302,88.000
Jonathan Schuerholz,425.000,7.500,22.100,0.184,0.252,0.243,0.495,0.236,38.000
Jordan Brown,458.345,6.399,12.963,0.309,0.355,0.471,0.826,0.336,118.545
Jordan Danks,487.225,10.084,28.370,0.256,0.336,0.417,0.753,0.346,106.073
Jordan Lennerton,607.000,13.800,21.900,0.278,0.382,0.430,0.812,0.342,130.000
Jordan Pacheco,411.000,7.300,11.700,0.278,0.343,0.377,0.721,0.308,81.000
Jordan Parraz,498.018,8.148,16.992,0.277,0.356,0.425,0.781,0.323,109.928
Jordan Patterson,519.565,7.984,23.695,0.288,0.361,0.511,0.872,0.349,126.387
Jorge Bonifacio,558.000,9.100,23.300,0.277,0.351,0.461,0.812,0.339,116.000
Jose Constanza,448.000,7.800,12.100,0.319,0.373,0.394,0.766,0.366,111.000
Jose Iglesias,391.552,6.108,13.280,0.251,0.302,0.288,0.589,0.289,63.632
Jose Martinez,447.386,9.835,14.563,0.325,0.392,0.485,0.876,0.365,134.454
Jose Morales,411.000,7.300,10.700,0.311,0.366,0.399,0.765,0.347,111.000
Jose Peraza,521.000,3.300,8.600,0.293,0.316,0.378,0.694,0.312,94.000
Jose Pirela,581.000,6.400,12.700,0.305,0.351,0.441,0.792,0.336,117.000
Josh Anderson,552.739,5.602,11.929,0.293,0.341,0.372,0.713,0.331,90.115
Josh Bell,446.096,10.297,20.253,0.280,0.355,0.464,0.819,0.324,122.194
Josh Donaldson,503.000,10.100,19.900,0.261,0.344,0.439,0.783,0.301,94.000
Josh Fields,526.000,10.300,25.900,0.305,0.379,0.515,0.894,0.394,151.000
Josh Kroeger,497.721,7.381,17.879,0.252,0.312,0.418,0.729,0.285,93.274
Josh Labandeira,456.000,8.100,11.400,0.276,0.351,0.352,0.702,0.309,89.000
Josh Phegley,445.191,5.747,14.878,0.270,0.319,0.456,0.775,0.288,110.666
Josh Prince,490.000,12.200,21.400,0.237,0.338,0.368,0.707,0.289,91.000
Josh Rabe,398.000,8.800,9.300,0.299,0.362,0.411,0.773,0.315,118.000
Josh Reddick,481.000,5.200,15.200,0.266,0.301,0.466,0.767,0.279,102.000
Josh Satin,527.000,14.600,20.700,0.286,0.391,0.442,0.833,0.346,136.000
Josh Vitters,429.346,6.175,21.484,0.261,0.314,0.431,0.745,0.304,89.379
Josh Whitesell,560.000,13.200,24.300,0.328,0.425,0.568,0.993,0.411,152.000
Josh Wilson,459.000,6.300,15.500,0.262,0.330,0.378,0.708,0.300,95.000
Juan Diaz,467.851,6.488,23.258,0.263,0.314,0.380,0.695,0.332,85.499
Juan Miranda,463.431,11.998,19.555,0.289,0.376,0.476,0.851,0.334,134.916
Juan Perez,408.002,5.545,19.946,0.270,0.316,0.408,0.723,0.323,96.022
Julio Borbon,528.862,6.695,10.484,0.305,0.357,0.412,0.770,0.333,102.439
Jurickson Profar,383.000,11.200,8.600,0.287,0.383,0.428,0.811,0.302,116.000
Justin Bour,430.000,9.100,13.300,0.306,0.372,0.517,0.889,0.319,124.000
Justin Henry,543.000,9.900,12.000,0.300,0.372,0.357,0.729,0.342,107.000
Justin Huber,458.825,10.056,19.686,0.275,0.357,0.481,0.838,0.311,126.709
Justin Maxwell,448.000,12.100,30.400,0.242,0.344,0.396,0.740,0.339,108.000
Justin Ruggiano,539.091,9.651,27.651,0.281,0.358,0.458,0.815,0.373,125.766
Justin Turner,442.002,7.550,9.954,0.308,0.368,0.438,0.806,0.328,122.528
Kaleb Cowart,437.110,9.287,19.806,0.295,0.360,0.466,0.827,0.353,117.071
Kean Wong,417.000,8.200,18.700,0.265,0.328,0.361,0.688,0.321,94.000
Keith Reed,453.000,4.200,13.900,0.279,0.319,0.441,0.761,0.309,112.000
Kenny Kelly,409.000,10.500,18.300,0.248,0.332,0.305,0.637,0.312,74.000
Kennys Vargas,402.000,16.400,22.100,0.233,0.361,0.424,0.785,0.270,128.000
Kevin Frandsen,474.000,4.900,7.200,0.295,0.352,0.438,0.790,0.295,109.000
Kevin Mahar,410.000,3.400,23.900,0.276,0.303,0.389,0.692,0.353,74.000
Kevin Mattison,539.000,8.200,26.900,0.241,0.310,0.394,0.704,0.315,80.000
Kevin Melillo,433.231,11.663,21.965,0.260,0.348,0.444,0.793,0.317,106.954
Kevin Pillar,434.000,4.800,11.100,0.323,0.359,0.509,0.868,0.345,136.000
Kevin Russo,454.873,8.854,16.969,0.293,0.358,0.382,0.740,0.350,107.274
Kevin Thompson,416.000,10.600,15.100,0.265,0.345,0.428,0.773,0.296,116.000
Kila Ka'aihue,464.772,18.201,17.297,0.278,0.410,0.484,0.893,0.308,131.452
Koby Clemens,444.000,11.500,26.400,0.234,0.331,0.424,0.756,0.291,86.000
Kole Calhoun,463.000,9.500,19.000,0.298,0.369,0.507,0.877,0.346,125.000
Kolten Wong,463.000,8.900,13.000,0.303,0.369,0.466,0.835,0.332,120.000
Kory Casto,488.525,10.006,19.608,0.259,0.334,0.381,0.715,0.307,98.451
Kristopher Negron,465.000,4.700,21.900,0.216,0.269,0.338,0.607,0.260,63.000
Kyle Hudson,462.000,9.300,16.000,0.264,0.335,0.286,0.621,0.321,79.000
Kyle Jensen,510.941,7.789,25.364,0.260,0.323,0.482,0.806,0.307,107.000
Kyle Kubitza,496.073,12.055,25.109,0.243,0.338,0.388,0.726,0.324,95.166
Kyle Parker,542.000,6.100,18.800,0.289,0.336,0.450,0.786,0.335,102.000
Kyle Roller,470.053,11.626,27.907,0.256,0.357,0.440,0.797,0.340,126.473
Kyle Wren,540.000,10.000,14.300,0.286,0.364,0.401,0.766,0.332,103.000
L.J. Hoes,434.094,11.746,13.528,0.280,0.368,0.378,0.746,0.321,112.099
Larry Broadway,469.019,11.696,21.980,0.269,0.355,0.435,0.790,0.328,111.906
Lars Anderson,508.465,12.522,22.280,0.259,0.355,0.416,0.771,0.322,113.211
Lastings Milledge,505.000,8.500,12.500,0.295,0.364,0.441,0.805,0.321,123.000
Laynce Nix,420.000,8.600,21.000,0.284,0.348,0.539,0.887,0.314,118.000
Leandro Castro,464.078,4.516,15.838,0.258,0.294,0.367,0.661,0.294,81.052
Logan Schafer,513.000,5.700,14.000,0.278,0.332,0.438,0.770,0.307,98.000
Logan Watkins,472.000,11.000,20.800,0.243,0.333,0.379,0.711,0.300,90.000
Lorenzo Cain,549.000,7.300,18.600,0.312,0.380,0.497,0.877,0.366,118.000
Lucas May,390.000,8.700,20.300,0.291,0.355,0.501,0.856,0.333,118.000
Luis Alfonso Cruz,518.000,2.900,10.800,0.281,0.309,0.414,0.723,0.298,82.000
Luis Durango,504.204,9.571,15.044,0.294,0.363,0.331,0.694,0.353,93.287
Luis Hernandez,435.000,5.100,16.800,0.240,0.280,0.332,0.612,0.277,65.000
Luis Jimenez,509.126,4.241,14.238,0.298,0.328,0.500,0.828,0.316,108.508
Luis Rivas,465.000,9.000,14.800,0.263,0.341,0.400,0.741,0.292,105.000
Luis Sardinas,416.000,4.800,13.000,0.282,0.319,0.359,0.678,0.325,81.000
Luis Valbuena,472.000,9.700,20.300,0.302,0.372,0.476,0.848,0.355,134.000
Mac Williamson,382.000,6.500,26.200,0.244,0.301,0.423,0.724,0.301,84.000
Maikel Franco,556.000,5.400,14.600,0.257,0.299,0.428,0.727,0.276,97.000
Manuel Margot,566.000,6.400,11.300,0.304,0.351,0.426,0.777,0.335,108.000
Marc Maddox,413.000,8.500,13.600,0.263,0.336,0.349,0.685,0.304,80.000
Mark Canha,537.000,10.600,20.900,0.303,0.384,0.505,0.889,0.356,131.000
Mark Hallberg,441.383,9.841,7.828,0.271,0.346,0.373,0.719,0.286,84.029
Mark Saccomanno,511.000,6.500,22.300,0.277,0.323,0.487,0.810,0.318,101.000
Mark Trumbo,595.000,9.700,21.200,0.301,0.368,0.577,0.945,0.332,134.000
Mark Zagunis,408.000,17.200,22.800,0.267,0.404,0.455,0.859,0.333,130.000
Martin Prado,443.000,7.700,9.300,0.316,0.374,0.420,0.794,0.343,121.000
Mason Williams,437.000,6.400,15.100,0.263,0.309,0.318,0.627,0.306,74.000
Mat Gamel,545.000,8.400,15.400,0.310,0.372,0.540,0.912,0.326,121.000
Matt Angle,453.702,9.993,18.166,0.280,0.359,0.375,0.734,0.342,99.354
Matt Antonelli,540.000,14.100,15.900,0.215,0.335,0.322,0.657,0.248,74.000
Matt Camp,495.000,8.700,8.300,0.264,0.335,0.323,0.659,0.285,70.000
Matt Carpenter,535.000,15.700,12.700,0.300,0.417,0.463,0.880,0.328,125.000
Matt Carson,493.000,7.700,19.100,0.264,0.327,0.514,0.841,0.279,116.000
Matt Clark,524.323,10.995,21.844,0.291,0.365,0.502,0.866,0.335,116.339
Matt Davidson,550.229,9.571,29.780,0.225,0.307,0.403,0.710,0.289,95.424
Matt Dominguez,484.102,5.211,13.211,0.265,0.308,0.406,0.714,0.281,92.922
Matt Downs,467.000,5.400,12.400,0.300,0.343,0.491,0.834,0.315,117.000
Matt Duffy,506.878,7.802,21.390,0.265,0.335,0.441,0.776,0.308,106.153
Matt Hague,557.033,8.904,13.214,0.293,0.364,0.412,0.776,0.329,117.322
Matt Joyce,493.000,13.600,19.900,0.273,0.373,0.482,0.855,0.317,136.000
Matt Juengel,431.000,7.400,17.600,0.263,0.325,0.431,0.756,0.300,99.000
Matt LaPorta,414.966,10.386,16.559,0.281,0.368,0.500,0.867,0.298,140.372
Matt Long,411.246,10.368,17.772,0.285,0.358,0.464,0.822,0.330,113.862
Matt Macri,412.000,8.500,20.600,0.225,0.296,0.400,0.696,0.259,90.000
Matt Mangini,477.000,5.500,20.100,0.313,0.352,0.521,0.873,0.364,119.000
Matt McBride,469.000,4.100,10.000,0.344,0.365,0.535,0.900,0.360,128.000
Matt Miller,587.504,9.997,14.547,0.322,0.392,0.456,0.848,0.366,124.506
Matt Murton,424.000,9.200,12.300,0.324,0.389,0.499,0.888,0.345,133.000
Matt Olson,540.000,13.100,24.400,0.235,0.335,0.422,0.757,0.289,102.000
Matt Reynolds,490.000,6.500,18.800,0.267,0.319,0.402,0.721,0.319,90.000
Matt Skole,573.000,11.500,20.800,0.244,0.337,0.437,0.774,0.273,123.000
Matt Szczur,457.000,6.600,17.100,0.261,0.315,0.312,0.626,0.318,65.000
Matt Tolbert,477.000,7.800,11.700,0.293,0.353,0.427,0.780,0.321,115.000
Matt Tuiasosopo,503.011,11.493,23.418,0.249,0.345,0.403,0.748,0.309,95.806
Matt Williams,395.000,12.400,17.000,0.263,0.355,0.346,0.701,0.321,91.000
Matt Young,555.000,10.300,9.500,0.300,0.380,0.407,0.786,0.330,117.000
Matthew Brown,442.038,9.211,20.975,0.280,0.355,0.501,0.855,0.325,118.183
Mauro Gomez,500.229,7.407,22.287,0.307,0.363,0.551,0.914,0.357,148.701
Max Moroff,520.000,17.300,24.800,0.230,0.367,0.349,0.716,0.311,113.000
Max Ramirez,445.000,10.600,18.400,0.300,0.374,0.473,0.847,0.336,119.000
Max Stassi,425.000,5.200,24.200,0.247,0.296,0.378,0.674,0.312,72.000
Melvin Upton Jr.,470.000,13.800,18.900,0.269,0.374,0.394,0.769,0.326,121.000
Micah Johnson,516.000,7.900,20.300,0.261,0.321,0.356,0.677,0.327,82.000
Michael Almanzar,468.261,5.365,21.096,0.238,0.285,0.350,0.636,0.290,78.674
Michael Aubrey,407.000,4.900,9.300,0.290,0.323,0.436,0.759,0.299,104.000
Michael Brantley,528.000,11.200,9.100,0.267,0.350,0.361,0.711,0.286,101.000
Michael Choice,558.234,9.572,22.734,0.273,0.352,0.421,0.774,0.336,108.477
Michael Morse,472.000,7.400,16.300,0.322,0.383,0.511,0.894,0.361,141.000
Michael Reed,492.000,15.000,25.200,0.248,0.366,0.365,0.731,0.333,102.000
Michael Restovich,506.000,10.300,23.900,0.293,0.374,0.560,0.933,0.344,141.000
Michael Taylor,493.217,11.943,18.740,0.278,0.369,0.439,0.808,0.326,110.640
Miguel Negron,417.000,6.200,14.900,0.279,0.324,0.365,0.689,0.322,91.000
Mike Aviles,544.381,5.385,9.922,0.281,0.320,0.421,0.741,0.292,89.339
Mike Baxter,552.000,10.500,14.100,0.301,0.382,0.517,0.899,0.326,130.000
Mike Carp,476.882,10.391,20.151,0.264,0.351,0.480,0.831,0.289,113.627
Mike Costanzo,538.000,9.700,29.600,0.261,0.333,0.395,0.728,0.365,98.000
Mike Eylward,503.617,8.868,12.407,0.309,0.376,0.433,0.810,0.338,112.987
Mike Fontenot,418.000,11.200,15.300,0.296,0.375,0.450,0.825,0.336,119.000
Mike Freeman,435.000,7.800,11.700,0.317,0.371,0.422,0.793,0.357,114.000
Mike McDade,473.000,7.600,25.400,0.250,0.313,0.371,0.684,0.321,91.000
Mike Olt,420.000,13.100,30.000,0.197,0.302,0.368,0.671,0.254,76.000
Mike Paulk,410.000,9.500,16.800,0.262,0.333,0.426,0.760,0.302,93.000
Mike Rodriguez,502.000,10.200,11.000,0.276,0.352,0.385,0.737,0.303,97.000
Mike Rouse,402.000,10.400,16.700,0.258,0.347,0.377,0.724,0.303,95.000
Mike Tauchman,502.349,7.979,14.979,0.307,0.363,0.459,0.822,0.348,114.280
Mikie Mahtook,493.000,7.061,24.252,0.273,0.337,0.418,0.755,0.355,111.614
Mitch Maier,596.000,5.500,14.900,0.279,0.320,0.428,0.749,0.307,88.000
Mitch Moreland,412.000,11.400,15.300,0.289,0.371,0.484,0.855,0.316,118.000
Moises Sierra,417.060,6.582,23.018,0.275,0.335,0.447,0.782,0.332,109.072
Nate Gold,522.000,7.700,19.900,0.292,0.347,0.516,0.863,0.319,116.000
Nate Orf,452.939,9.713,13.727,0.306,0.384,0.454,0.837,0.347,121.128
Nate Schierholtz,439.000,3.900,13.200,0.333,0.365,0.560,0.925,0.355,132.000
Nate Spears,403.159,9.676,16.038,0.247,0.324,0.370,0.694,0.286,90.232
Nate Sutton,452.000,10.200,15.900,0.259,0.341,0.358,0.698,0.311,83.000
Nate Tenbrink,505.000,12.300,26.700,0.267,0.363,0.447,0.809,0.351,115.000
Neftali Soto,503.643,6.673,21.766,0.258,0.313,0.407,0.720,0.307,99.458
Neil Walker,483.617,5.881,17.214,0.251,0.293,0.441,0.734,0.272,95.862
Nellie Rodriguez,433.000,12.200,41.800,0.170,0.271,0.342,0.613,0.260,70.000
Nelson Cruz,435.859,11.237,21.440,0.323,0.404,0.614,1.018,0.359,157.574
Nick Ahmed,452.000,8.200,12.200,0.312,0.373,0.425,0.798,0.352,110.000
Nick Buss,567.752,8.333,15.724,0.301,0.364,0.448,0.811,0.342,113.154
Nick Castellanos,595.000,9.100,16.800,0.276,0.343,0.450,0.793,0.307,121.000
Nick Franklin,446.000,12.800,21.100,0.272,0.366,0.412,0.777,0.330,106.000
Nick Gorneault,452.000,8.400,23.500,0.283,0.343,0.499,0.842,0.344,118.000
Nick Martini,426.000,12.900,18.100,0.303,0.394,0.436,0.830,0.363,119.000
Nick Noonan,483.122,6.328,19.187,0.271,0.319,0.368,0.687,0.327,77.279
Nick Stavinoha,499.728,5.161,13.173,0.296,0.335,0.439,0.774,0.317,95.919
Nick Williams,527.000,3.600,25.800,0.258,0.287,0.427,0.714,0.325,100.000
Nicky Delmonico,429.000,10.700,17.000,0.262,0.347,0.421,0.768,0.296,115.000
Niko Goodrum,499.000,6.000,23.800,0.265,0.309,0.425,0.734,0.326,102.000
Niuman Romero,393.000,8.100,14.500,0.246,0.314,0.311,0.626,0.286,73.000
Noel Cuevas,528.000,4.700,19.300,0.312,0.353,0.487,0.840,0.368,115.000
Nolan Fontana,439.813,13.771,23.081,0.237,0.347,0.359,0.706,0.308,90.982
Nolan Reimold,401.000,13.500,15.200,0.249,0.364,0.374,0.738,0.276,107.000
Norris Hopper,410.000,4.900,6.100,0.347,0.378,0.392,0.769,0.369,118.000
O'Koyea Dickson,439.822,7.400,18.234,0.254,0.317,0.460,0.776,0.270,99.303
Omar Quintanilla,393.000,7.900,16.500,0.319,0.380,0.454,0.834,0.382,116.000
Orlando Arcia,440.000,6.600,17.500,0.267,0.320,0.403,0.723,0.312,91.000
Orlando Calixte,397.531,6.043,21.098,0.236,0.285,0.380,0.665,0.279,71.053
Oswaldo Arcia,400.000,11.300,21.500,0.326,0.410,0.639,1.049,0.367,165.000
Oswaldo Navarro,449.408,7.189,17.667,0.254,0.317,0.327,0.644,0.309,67.114
Ozzie Albies,448.000,6.300,20.100,0.285,0.330,0.440,0.771,0.342,112.000
Patrick Kivlehan,466.221,6.508,24.106,0.255,0.308,0.437,0.745,0.306,95.214
Patrick Leonard,553.000,7.200,23.700,0.268,0.327,0.408,0.735,0.338,105.000
Patrick Wisdom,506.000,7.500,29.400,0.243,0.310,0.507,0.817,0.286,105.000
Paul McAnulty,552.000,11.200,14.300,0.310,0.388,0.521,0.909,0.332,138.000
Pedro Ciriaco,502.000,2.400,14.700,0.265,0.281,0.387,0.667,0.299,67.000
Pedro Lopez,385.000,8.600,16.400,0.236,0.306,0.295,0.601,0.283,67.000
Pete Kozma,463.302,8.514,16.327,0.231,0.300,0.339,0.639,0.263,62.577
Peter Bourjos,455.000,5.300,17.100,0.314,0.364,0.498,0.861,0.359,119.000
Peter Ciofrone,421.000,9.000,15.400,0.314,0.389,0.519,0.908,0.339,131.000
Peter Mooney,455.000,9.500,13.600,0.213,0.290,0.308,0.598,0.243,55.000
Peter O'Brien,489.165,5.576,27.997,0.271,0.315,0.530,0.846,0.330,118.688
Phil Gosselin,407.000,4.700,15.200,0.344,0.379,0.487,0.866,0.401,140.000
Phillip Ervin,408.000,9.100,20.300,0.256,0.328,0.380,0.709,0.315,99.000
Phillip Evans,510.000,8.200,15.500,0.279,0.341,0.418,0.760,0.316,98.000
Preston Tucker,569.000,11.400,17.900,0.250,0.333,0.465,0.798,0.263,102.000
Rafael Ortega,487.462,10.370,12.307,0.301,0.375,0.422,0.796,0.340,112.238
Rafael Ynoa,473.000,8.000,16.500,0.297,0.356,0.419,0.775,0.353,102.000
Rajai Davis,417.000,6.500,14.100,0.283,0.335,0.348,0.683,0.330,94.000
Ramiro Pena,404.000,8.400,18.300,0.258,0.325,0.328,0.653,0.317,85.000
Ramon Flores,493.000,13.800,14.200,0.312,0.409,0.460,0.869,0.353,131.000
Ramon Santiago,402.000,4.000,15.200,0.263,0.309,0.362,0.671,0.308,84.000
Randal Grichuk,472.000,5.900,22.900,0.259,0.311,0.493,0.805,0.289,102.000
Rangel Ravelo,416.000,8.200,15.100,0.262,0.334,0.395,0.729,0.293,93.000
Ray Olmedo,408.742,6.483,13.477,0.268,0.319,0.357,0.677,0.307,85.466
Reegie Corona,428.000,8.400,13.600,0.238,0.306,0.354,0.660,0.269,78.000
Reggie Abercrombie,557.000,5.200,28.500,0.271,0.314,0.412,0.726,0.368,88.000
Reggie Willits,437.000,17.600,11.400,0.327,0.448,0.426,0.874,0.372,142.000
Reid Brignac,428.147,8.485,17.357,0.258,0.325,0.387,0.712,0.298,98.904
Renato Nunez,541.633,7.175,24.012,0.238,0.298,0.464,0.762,0.264,93.257
Rey Fuentes,445.000,6.700,16.200,0.308,0.360,0.422,0.781,0.356,110.000
Rey Navarro,487.502,7.952,13.427,0.271,0.329,0.377,0.705,0.303,92.325
Rhyne Hughes,425.000,6.800,28.500,0.258,0.314,0.410,0.723,0.346,93.000
Rhys Hoskins,475.000,13.500,15.800,0.284,0.385,0.581,0.966,0.281,166.000
Rich Poythress,416.000,11.100,18.500,0.252,0.337,0.430,0.767,0.284,103.000
Richie Shaffer,522.200,12.681,30.973,0.227,0.334,0.418,0.751,0.302,113.480
Rick Ankiel,423.000,5.900,21.300,0.267,0.314,0.568,0.883,0.265,113.000
Ricky Bell,389.000,4.400,17.200,0.212,0.248,0.288,0.537,0.246,37.000
Rio Ruiz,487.785,10.639,23.456,0.260,0.340,0.421,0.761,0.322,115.314
Rob Brantly,392.000,5.100,15.600,0.255,0.291,0.341,0.631,0.291,60.000
Rob Cosby,487.000,4.300,19.900,0.252,0.293,0.428,0.721,0.283,99.000
Rob Johnson,464.002,8.200,13.250,0.286,0.347,0.406,0.753,0.319,92.974
Rob Refsnyder,525.000,10.700,13.900,0.271,0.359,0.402,0.761,0.302,123.000
Rob Segedin,424.000,9.400,19.100,0.319,0.392,0.598,0.989,0.356,159.000
Robbie Grossman,408.000,13.500,20.800,0.254,0.354,0.349,0.703,0.318,93.000
Robert Andino,596.227,5.709,19.016,0.266,0.310,0.400,0.711,0.314,84.046
Roberto Lopez,476.000,7.100,15.500,0.289,0.342,0.438,0.780,0.325,105.000
