Accuracy Precision Recall F1-Score
Entropy 0.823 1.0 0.015 0.029
Gini 0.826 0.555 0.151 0.238
Bayes 0.771 0.35 0.318 0.333
RandomForest 0.820 0.0 0.0 0.0
AdaBoost 0.820 0.0 0.0 0.0
